seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	46768786	46769129	344	*	X006	10489	46744072	46769038	24967	-	0	overlapStart	0	LRRC41
chr1	46768786	46769129	344	*	X006	7388	46769380	46782447	13068	+	250	upstream	250	UQCRH
chr1	46769204	46769229	26	*	X007	10489	46744072	46769038	24967	-	165	upstream	165	LRRC41
chr1	46769204	46769229	26	*	X007	7388	46769380	46782447	13068	+	150	upstream	150	UQCRH
chr1	46769243	46769258	16	*	X008	10489	46744072	46769038	24967	-	204	upstream	204	LRRC41
chr1	46769243	46769258	16	*	X008	7388	46769380	46782447	13068	+	121	upstream	121	UQCRH
chr1	48937649	48937675	27	*	X010	54558	48761044	48937876	176833	-	0	inside	200	SPATA6
chr1	49242318	49242387	70	*	X011	79656	49193540	49242547	49008	-	0	inside	159	BEND5
chr1	49242431	49242506	76	*	X012	79656	49193540	49242547	49008	-	0	inside	40	BEND5
chr1	49242532	49242567	36	*	X013	79656	49193540	49242547	49008	-	0	overlapStart	0	BEND5
chr1	49242669	49242717	49	*	X014	79656	49193540	49242547	49008	-	121	upstream	121	BEND5
chr1	49242753	49242778	26	*	X015	79656	49193540	49242547	49008	-	205	upstream	205	BEND5
chr1	100315556	100315876	321	*	X016	178	100315640	100389579	73940	+	0	overlapStart	0	AGL
chr1	110950356	110950432	77	*	X017	101410535	110950431	110958896	8466	+	0	overlapStart	0	LAMTOR5-AS1
chr1	110950356	110950432	77	*	X017	10542	110943877	110950546	6670	-	0	inside	113	LAMTOR5
chr1	154909090	154909340	251	*	X020	10654	154897208	154909484	12277	-	0	inside	143	PMVK
chr1	154909616	154909626	11	*	X021	10654	154897208	154909484	12277	-	131	upstream	131	PMVK
chr1	164528460	164528478	19	*	X023	5087	164528597	164854300	325704	+	118	upstream	118	PBX1
chr1	164528814	164528887	74	*	X024	5087	164528597	164854300	325704	+	0	inside	216	PBX1
chr1	173446741	173446914	174	*	X025	100506023	173204199	173446294	242096	-	446	upstream	446	LOC100506023
chr1	173446741	173446914	174	*	X025	9588	173446486	173457946	11461	+	0	inside	254	PRDX6
chr1	224621518	224621786	269	*	X029	80232	224572845	224622001	49157	-	0	inside	214	WDR26
chr2	27593075	27593524	450	*	X034	8890	27587219	27593324	6106	-	0	overlapStart	0	EIF2B4
chr2	27593075	27593524	450	*	X034	9784	27593363	27600400	7038	+	0	overlapStart	0	SNX17
chr2	74756806	74756815	10	*	X035	27429	74756532	74760683	4152	+	0	inside	273	HTRA2
chr2	74756806	74756815	10	*	X035	550	74753775	74756974	3200	-	0	inside	158	AUP1
chr2	86422565	86422600	36	*	X037	10989	86371055	86422893	51839	-	0	inside	292	IMMT
chr2	86422619	86422646	28	*	X038	10989	86371055	86422893	51839	-	0	inside	246	IMMT
